q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q133448477,Werner Rothweiler,Werner,,125652402,Mensch,,,,False,https://www.wikidata.org/wiki/Q133448477
Q133448478,Maël Roumois,Maël,,1249452813,Mensch,,,,False,https://www.wikidata.org/wiki/Q133448478
Q133448479,Bruno Rub,Bruno,Rub,133412032,Mensch,1944-01-01,,,False,https://www.wikidata.org/wiki/Q133448479
Q133448480,Viktor Rudin,,,1240249209,Mensch,1952-01-01,,,False,https://www.wikidata.org/wiki/Q133448480
Q133448481,Q133448481,,Rudolf,1232022624,Mensch,1928-01-01,2024-01-01,,False,https://www.wikidata.org/wiki/Q133448481
Q133448483,Karin E. Ruegg,Karin,Ruegg,132345137,Mensch,1938-01-01,,,False,https://www.wikidata.org/wiki/Q133448483
Q133448484,Beat Rüegger,Beat,Rüegger,120419998,Mensch,1956-01-01,,,False,https://www.wikidata.org/wiki/Q133448484
Q133448485,Q133448485,Susan,,1272435849,Mensch,1958-01-01,,,False,https://www.wikidata.org/wiki/Q133448485
Q133448487,Philip Rufli,Philip,Rufli,141362642,Mensch,1974-01-01,,,False,https://www.wikidata.org/wiki/Q133448487
Q133448489,Beny Ruhstaller,Beny,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q133448489
Q133448490,Monica Rümbeli,Monica,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q133448490
Q133448491,Duri Rungger,Duri,,143385577,Mensch,1941-01-01,,,False,https://www.wikidata.org/wiki/Q133448491
Q133448492,Thomas Rüppel,Thomas,Rüppel,,Mensch,,,,False,https://www.wikidata.org/wiki/Q133448492
